year,County,Registration Units,Registrations,Deregistrations,Transfers,Modifications,Neutered,Neutered Deregistrations,Exempt from Neutering,Exempt Deregistrations,Neutering Rate,Breeding Management Rate
2023,澎湖縣,14,397,28,380,213,211,9,3,0,54.74,55.56
2023,基隆市,15,1261,104,1642,471,543,7,14,0,46.33,47.54
2023,新竹市,36,1385,62,1543,363,720,12,96,0,53.51,60.77
2023,嘉義市,45,935,64,966,380,350,19,3,0,38,38.35
2023,金門縣,1,407,33,264,175,197,11,36,1,49.73,59.09
2023,連江縣,1,24,0,16,16,9,0,0,0,37.5,37.5
2023,全臺,1880,94508,5488,85004,30761,46930,2030,1957,37,50.44,52.59
2022,新北市,293,13688,1018,14111,6337,6701,216,232,1,51.18,53.01
2022,臺北市,228,7522,417,6854,5247,4312,133,131,2,58.82,60.63
2022,臺中市,222,12427,543,10613,4362,7807,240,478,3,63.67,67.67
2022,臺南市,175,9911,541,6398,2864,3364,82,382,2,35.03,39.08
2022,高雄市,215,13969,1103,10038,3007,6990,441,424,14,50.9,54.09
2022,桃園市,180,9868,434,8947,5524,5283,145,98,3,54.46,55.47
2022,宜蘭縣,27,1916,151,1318,619,830,59,174,25,43.68,52.12
2022,新竹縣,34,2356,165,2147,1001,1362,42,105,0,60.25,65.04
2022,苗栗縣,35,2917,232,1749,982,1370,73,44,0,48.31,49.94
2022,彰化縣,79,5980,692,4043,1468,3108,400,62,1,51.21,52.36
2022,南投縣,20,3713,321,1360,652,2572,80,134,3,73.47,77.33
2022,雲林縣,38,3396,335,1765,708,1989,216,45,1,57.92,59.36
2022,嘉義縣,17,2742,174,1341,623,1480,57,21,1,55.41,56.19
2022,屏東縣,91,5091,448,2664,1267,2530,113,43,1,52.06,52.96
2022,臺東縣,9,2987,522,669,498,1342,242,149,10,44.62,50.26
2022,花蓮縣,35,3618,234,819,525,1974,82,25,0,55.91,56.65
2022,澎湖縣,12,371,23,374,152,196,8,11,0,54.02,57.18
2022,基隆市,16,1373,192,1346,598,607,17,0,0,49.96,49.96
2022,新竹市,32,1522,144,1575,439,818,16,99,1,58.2,65.31
2022,嘉義市,36,973,97,840,341,402,28,4,0,42.69,43.15
2022,金門縣,1,502,33,344,210,230,9,43,0,47.12,56.29
2022,連江縣,1,44,4,27,13,20,0,4,3,50,52.5
2022,全臺,1796,106886,7823,79342,37437,55287,2699,2708,71,53.09,55.75
2021,新北市,289,14108,1298,11691,6098,7374,433,309,11,54.18,56.51
2021,臺北市,219,8357,553,6316,5929,4914,249,145,6,59.78,61.56
2021,臺中市,215,13482,1093,9129,4006,8930,564,714,26,67.53,73.08
2021,臺南市,164,8945,456,4885,2176,3670,92,475,14,42.15,47.58
2021,高雄市,218,14129,1555,8594,3193,7549,762,587,37,53.98,58.35
2021,桃園市,175,9319,433,7863,3926,4900,177,86,4,53.15,54.07
2021,宜蘭縣,22,1846,179,1286,679,760,68,148,8,41.51,49.91
2021,新竹縣,29,2485,197,1633,993,1491,65,191,8,62.33,70.32
2021,苗栗縣,29,3059,397,1678,758,1458,123,38,2,50.15,51.5
2021,彰化縣,65,6478,833,3523,1546,3490,504,153,2,52.9,55.57
2021,南投縣,20,3678,392,1323,870,2504,99,132,11,73.19,76.87
2021,雲林縣,34,4055,404,1640,669,2652,261,150,5,65.49,69.46
2021,嘉義縣,13,3369,510,1441,908,1448,38,41,0,49.32,50.75
2021,屏東縣,83,4327,383,2411,789,2248,126,51,3,53.8,55.02
2021,臺東縣,7,2690,545,502,281,1371,297,44,5,50.07,51.89
2021,花蓮縣,33,3272,204,854,598,1678,96,14,0,51.56,52.02
2021,澎湖縣,10,530,67,321,224,289,28,73,7,56.37,70.63
2021,基隆市,17,1249,176,1063,557,563,16,12,1,50.98,52
2021,新竹市,32,1427,131,1274,431,784,20,73,1,58.95,64.51
2021,嘉義市,30,910,142,709,242,411,72,3,0,44.14,44.53
2021,金門縣,1,559,45,349,215,278,11,106,10,51.95,70.62
2021,連江縣,1,44,1,25,13,20,1,0,0,44.19,44.19
2021,全臺,1706,108318,9994,68510,35101,58782,4102,3545,161,55.61,59.05
2020,新北市,276,14865,1412,11960,5925,7920,604,379,17,54.38,57.07
2020,臺北市,217,8666,736,6620,5145,5429,336,203,8,64.22,66.68
2020,臺中市,207,14284,1402,7503,3257,9515,789,1831,107,67.74,81.12
2020,臺南市,153,9190,586,4308,1889,4214,140,585,24,47.35,53.87
2020,高雄市,205,15286,2390,9717,3304,7984,786,963,110,55.82,62.43
2020,桃園市,168,9922,556,7835,3464,5585,255,105,11,56.91,57.91
2020,宜蘭縣,21,1913,205,1118,576,943,96,193,21,49.59,59.66
2020,新竹縣,24,2598,226,1667,941,1591,101,191,11,62.82,70.4
2020,苗栗縣,22,4075,663,1732,1135,1675,171,71,5,44.08,46.01
2020,彰化縣,60,6071,917,2739,1536,3837,596,197,10,62.88,66.51
2020,南投縣,19,3495,388,1050,619,2477,181,161,20,73.9,78.44
2020,雲林縣,33,3949,511,1553,604,2292,299,354,15,57.97,67.83
2020,嘉義縣,12,2341,245,1396,410,1341,55,83,4,61.35,65.12
2020,屏東縣,78,4081,465,2499,1178,2139,150,43,5,55.01,56.06
2020,臺東縣,7,2997,750,589,457,1668,432,70,7,55.01,57.81
2020,花蓮縣,26,3283,269,815,890,1879,128,26,1,58.1,58.93
2020,澎湖縣,7,747,157,443,349,322,39,90,7,47.97,62.03
2020,基隆市,14,1315,92,1180,493,671,23,10,1,52.98,53.72
2020,新竹市,32,1444,134,1230,482,828,37,83,3,60.38,66.49
2020,嘉義市,30,947,86,693,277,430,36,27,0,45.76,48.9
2020,金門縣,1,715,138,352,250,342,52,168,18,50.26,76.26
2020,連江縣,1,54,3,24,19,26,2,2,0,47.06,50.98
2020,合計,1613,112238,12331,67023,33200,63108,5308,5835,405,57.85,63.29
