"id","Date","Open","High","Low","Adj Close","Volume","Close","Tickers"
,"2020-03-20",258.5,270,256,246.42893981933594,157664726,270,"2330.TW"
,"2020-03-23",257,262.5,252,232.73841857910156,76466709,255,"2330.TW"
,"2020-03-24",268,274,266,244.14715576171875,81952933,267.5,"2330.TW"
,"2020-03-25",276.5,280,274,252.81787109375,79447199,277,"2330.TW"
,"2020-03-26",279.5,280,275.5,255.55593872070312,52845633,280,"2330.TW"
,"2020-03-27",284,286,273,249.1670379638672,68752306,273,"2330.TW"
,"2020-03-30",263.5,269,262.5,244.14715576171875,49159956,267.5,"2330.TW"
,"2020-03-31",273,274,269.5,250.0797119140625,48837923,274,"2330.TW"
,"2020-04-01",276.5,276.5,271.5,247.79791259765625,44515034,271.5,"2330.TW"
,"2020-04-06",273,275.5,270,251.4488067626953,56392754,275.5,"2330.TW"
,"2020-04-07",283.5,284,280.5,258.2939758300781,48787346,283,"2330.TW"
,"2020-04-08",285,285.5,283,260.11944580078125,37912826,285,"2330.TW"
,"2020-04-09",287.5,288,282.5,258.2939758300781,27620430,283,"2330.TW"
,"2020-04-10",280,282,279,255.09957885742188,27252858,279.5,"2330.TW"
,"2020-04-13",278.5,281.5,278.5,254.18687438964844,22196596,278.5,"2330.TW"
,"2020-04-14",281,285.5,280,260.11944580078125,48809688,285,"2330.TW"
,"2020-04-15",287,288.5,286,262.4011535644531,55216434,287.5,"2330.TW"
,"2020-04-16",283,288.5,283,261.4885559082031,47815280,286.5,"2330.TW"
,"2020-04-17",303.5,308.5,300.5,279.7425231933594,116368201,306.5,"2330.TW"
,"2020-04-20",308,309,302.5,277.460693359375,41381669,304,"2330.TW"
,"2020-04-21",300.5,301.5,293.5,269.24639892578125,61479357,295,"2330.TW"
,"2020-04-22",294.5,295,290.5,268.33380126953125,42192580,294,"2330.TW"
,"2020-04-23",300,300,294,269.7027587890625,39474478,295.5,"2330.TW"
,"2020-04-24",295.5,297,294,268.33380126953125,26008090,294,"2330.TW"
,"2020-04-27",298,298.5,296,271.9845886230469,38493406,298,"2330.TW"
,"2020-04-28",298.5,298.5,294.5,270.6154479980469,37395165,296.5,"2330.TW"
,"2020-04-29",299,301.5,298,272.8971862792969,44059301,299,"2330.TW"
,"2020-04-30",302,305,301.5,277.9170227050781,55126085,304.5,"2330.TW"
,"2020-05-04",294.5,296.5,294,269.24639892578125,71581861,295,"2330.TW"
,"2020-05-05",296.5,298,295,269.7027587890625,23547405,295.5,"2330.TW"
,"2020-05-06",294.5,296,292.5,270.15911865234375,34240479,296,"2330.TW"
,"2020-05-07",294.5,299,294.5,271.5281066894531,27621198,297.5,"2330.TW"
,"2020-05-08",300,300,296,271.5281066894531,32295893,297.5,"2330.TW"
,"2020-05-11",300,301.5,298.5,274.7225646972656,28727019,301,"2330.TW"
,"2020-05-12",297.5,298.5,295,269.24639892578125,52089788,295,"2330.TW"
,"2020-05-13",293,297,292.5,271.0717468261719,26156418,297,"2330.TW"
,"2020-05-14",293,295,292.5,267.42095947265625,34315948,293,"2330.TW"
,"2020-05-15",297.5,298.5,294.5,271.9845886230469,42494804,298,"2330.TW"
,"2020-05-18",291,293.5,290,264.6828918457031,84986065,290,"2330.TW"
,"2020-05-19",294,294,291.5,266.05194091796875,51250214,291.5,"2330.TW"
,"2020-05-20",293,294,291,268.33380126953125,32677994,294,"2330.TW"
,"2020-05-21",296,298,295,271.5281066894531,30997468,297.5,"2330.TW"
,"2020-05-22",294.5,295,291,266.50830078125,40192923,292,"2330.TW"
,"2020-05-25",290.5,293,288.5,266.50830078125,26803223,292,"2330.TW"
,"2020-05-26",295,297.5,293.5,269.7027587890625,33856481,295.5,"2330.TW"
,"2020-05-27",297,298,295.5,270.6154479980469,23375959,296.5,"2330.TW"
,"2020-05-28",298.5,298.5,293,268.33380126953125,28444568,294,"2330.TW"
,"2020-05-29",292,292.5,290,266.50830078125,79774181,292,"2330.TW"
,"2020-06-01",294,296.5,293.5,269.7027587890625,35811214,295.5,"2330.TW"
,"2020-06-02",296,297.5,296,270.6154479980469,24771587,296.5,"2330.TW"
,"2020-06-03",300,301,298,274.7225646972656,65176337,301,"2330.TW"
,"2020-06-04",305,306,304,279.28607177734375,46572451,306,"2330.TW"
,"2020-06-05",308.5,312,308,284.3059997558594,42981262,311.5,"2330.TW"
,"2020-06-08",316,319,315,290.23846435546875,50302921,318,"2330.TW"
,"2020-06-09",316.5,319,314,291.1512145996094,36417082,319,"2330.TW"
,"2020-06-10",319,324,318,294.3456115722656,39984259,322.5,"2330.TW"
,"2020-06-11",325.5,327,318.5,292.52020263671875,50104255,320.5,"2330.TW"
,"2020-06-12",313,317.5,312.5,288.4131164550781,45992918,316,"2330.TW"
,"2020-06-15",316,317.5,308.5,282.48052978515625,51032404,309.5,"2330.TW"
,"2020-06-16",317,317,314,287.50042724609375,36608216,315,"2330.TW"
,"2020-06-17",316.5,317,313.5,287.50042724609375,34522968,315,"2330.TW"
,"2020-06-18",314.5,315,313,289.3404235839844,29044474,314.5,"2330.TW"
,"2020-06-19",314,314.5,312,289.3404235839844,48130280,314.5,"2330.TW"
,"2020-06-22",314.5,316.5,312,287.0404357910156,37374616,312,"2330.TW"
,"2020-06-23",316,316.5,312.5,289.8003845214844,41300084,315,"2330.TW"
,"2020-06-24",319,320,316,292.1004333496094,54147024,317.5,"2330.TW"
,"2020-06-29",314,315,310,287.0404357910156,56580892,312,"2330.TW"
,"2020-06-30",313.5,314,311,287.9604187011719,48991860,313,"2330.TW"
,"2020-07-01",315,318,314,292.1004333496094,29532342,317.5,"2330.TW"
,"2020-07-02",319,322,318,296.2404479980469,34526178,322,"2330.TW"
,"2020-07-03",327,330.5,326.5,303.1405334472656,53341987,329.5,"2330.TW"
,"2020-07-06",332.5,338,332,310.96038818359375,57256220,338,"2330.TW"
,"2020-07-07",343.5,346,338,311.42041015625,59046323,338.5,"2330.TW"
,"2020-07-08",337.5,342.5,337.5,313.7204895019531,30720218,341,"2330.TW"
,"2020-07-09",346,347,343,317.4004821777344,35522376,345,"2330.TW"
,"2020-07-10",352.5,353,345.5,320.62042236328125,60902108,348.5,"2330.TW"
,"2020-07-13",351,354.5,350.5,326.1404724121094,48069523,354.5,"2330.TW"
,"2020-07-14",355,364,354.5,334.42047119140625,61764150,363.5,"2330.TW"
,"2020-07-15",366,370,361,333.9604797363281,73438362,363,"2330.TW"
,"2020-07-16",359,361,353.5,328.9004821777344,68220512,357.5,"2330.TW"
,"2020-07-17",361,369,360,337.64044189453125,65727485,367,"2330.TW"
,"2020-07-20",370,370,362.5,336.7205505371094,42769238,366,"2330.TW"
,"2020-07-21",372.5,387,371.5,352.3605041503906,64219128,383,"2330.TW"
,"2020-07-22",381,386,379,353.280517578125,43759670,384,"2330.TW"
,"2020-07-23",382,383,379,350.98046875,45209282,381.5,"2330.TW"
,"2020-07-24",390,395,382,355.1204833984375,86682734,386,"2330.TW"
,"2020-07-27",420.5,424.5,416.5,390.54058837890625,99333798,424.5,"2330.TW"
,"2020-07-28",464,466.5,428.5,400.2005920410156,166307746,435,"2330.TW"
,"2020-07-29",428,431.5,419.5,388.2405700683594,85663166,422,"2330.TW"
,"2020-07-30",436.5,441,428.5,399.28057861328125,69293949,434,"2330.TW"
,"2020-07-31",426,432,425.5,391.4605712890625,49897674,425.5,"2330.TW"
,"2020-08-03",420.5,424,415,382.72052001953125,76429571,416,"2330.TW"
,"2020-08-04",421.5,425.5,418.5,391.4605712890625,41223445,425.5,"2330.TW"
,"2020-08-05",430.5,433.5,426,394.6805725097656,47223834,429,"2330.TW"
,"2020-08-06",437.5,438,431,400.2005920410156,41029627,435,"2330.TW"
,"2020-08-07",433.5,434,428,398.3606262207031,36589460,433,"2330.TW"
,"2020-08-10",427.5,437.5,427.5,400.6605529785156,36067500,435.5,"2330.TW"
,"2020-08-11",432,435,429,394.6805725097656,34545313,429,"2330.TW"
,"2020-08-12",422,423.5,419,385.4805603027344,52143474,419,"2330.TW"
,"2020-08-13",428,429,424.5,394.6805725097656,44352335,429,"2330.TW"
,"2020-08-14",424,428,423,392.840576171875,23419955,427,"2330.TW"
,"2020-08-17",427,435,425.5,400.2005920410156,34137731,435,"2330.TW"
,"2020-08-18",440,440.5,432,398.3606262207031,41643160,433,"2330.TW"
,"2020-08-19",436,436.5,427.5,393.300537109375,31486800,427.5,"2330.TW"
,"2020-08-20",427,427.5,401,381.8005676269531,75097235,415,"2330.TW"
,"2020-08-21",421.5,427,420,390.54058837890625,41609467,424.5,"2330.TW"
,"2020-08-24",427.5,434.5,425,393.76055908203125,48375406,428,"2330.TW"
,"2020-08-25",433.5,436,430.5,399.7405700683594,35977899,434.5,"2330.TW"
,"2020-08-26",435.5,442,435,406.640625,39243340,442,"2330.TW"
,"2020-08-27",448,453.5,444,408.4805908203125,53072712,444,"2330.TW"
,"2020-08-28",440,440.5,431,400.2005920410156,56842210,435,"2330.TW"
,"2020-08-31",437,439.5,426.5,392.3805847167969,81480538,426.5,"2330.TW"
,"2020-09-01",430,435,428,400.2005920410156,37429577,435,"2330.TW"
,"2020-09-02",441,441,430.5,398.3606262207031,34871407,433,"2330.TW"
,"2020-09-03",439.5,439.5,433.5,401.12060546875,34951617,436,"2330.TW"
,"2020-09-04",427,432.5,427,394.6805725097656,46119911,429,"2330.TW"
,"2020-09-07",428,432.5,425,391.9206237792969,32019312,426,"2330.TW"
,"2020-09-08",428,433,427.5,396.52056884765625,23714670,431,"2330.TW"
,"2020-09-09",425,428,423,392.840576171875,40551362,427,"2330.TW"
,"2020-09-10",432.5,435,430.5,400.2005920410156,35098921,435,"2330.TW"
,"2020-09-11",435.5,436.5,432.5,401.58062744140625,34298469,436.5,"2330.TW"
,"2020-09-14",436,442,435.5,405.7205505371094,39085833,441,"2330.TW"
,"2020-09-15",440.5,447,439.5,409.4005432128906,39061449,445,"2330.TW"
,"2020-09-16",460,462,455.5,421.360595703125,64261238,458,"2330.TW"
,"2020-09-17",453,455,446.5,414.8852844238281,42058506,448.5,"2330.TW"
,"2020-09-18",447,449.5,443,410.7225646972656,52454922,444,"2330.TW"
,"2020-09-21",443.5,450,440,407.0223388671875,39463920,440,"2330.TW"
,"2020-09-22",440,441,436,404.24713134765625,36130639,437,"2330.TW"
,"2020-09-23",436,438.5,432,401.0095520019531,45710963,433.5,"2330.TW"
,"2020-09-24",425.5,429,423,391.29644775390625,79806381,423,"2330.TW"
,"2020-09-25",427,428,421,392.2215576171875,38775269,424,"2330.TW"
,"2020-09-28",427,431.5,424.5,399.1593933105469,34156973,431.5,"2330.TW"
,"2020-09-29",432.5,435,428,398.6968688964844,32230502,431,"2330.TW"
,"2020-09-30",430.5,435,430.5,400.5469665527344,27334204,433,"2330.TW"
,"2020-10-05",438,438,431.5,400.0843505859375,32945832,432.5,"2330.TW"
,"2020-10-06",441.5,442,437.5,406.55975341796875,35775395,439.5,"2330.TW"
,"2020-10-07",435,445,435,409.79742431640625,42926239,443,"2330.TW"
,"2020-10-08",450,454,448.5,419.0480041503906,60853811,453,"2330.TW"
,"2020-10-12",458,462,457.5,425.5233459472656,64719223,460,"2330.TW"
,"2020-10-13",465,465,456.5,427.3734436035156,45750738,462,"2330.TW"
,"2020-10-14",460.5,461,457,424.59832763671875,40809241,459,"2330.TW"
,"2020-10-15",456,456.5,450,419.0480041503906,47775028,453,"2330.TW"
,"2020-10-16",451,456,448.5,415.3477783203125,46876801,449,"2330.TW"
,"2020-10-19",453,457.5,451,423.21063232421875,34470906,457.5,"2330.TW"
,"2020-10-20",455.5,457,451,417.19793701171875,25205638,451,"2330.TW"
,"2020-10-21",453.5,456,451,419.0480041503906,28058921,453,"2330.TW"
,"2020-10-22",450,455,449.5,420.8981018066406,23438547,455,"2330.TW"
,"2020-10-23",458,458,451.5,418.1229248046875,18777385,452,"2330.TW"
,"2020-10-26",455,455,450,416.2728271484375,15059581,450,"2330.TW"
,"2020-10-27",447.5,448.5,445.5,413.4976806640625,20117660,447,"2330.TW"
,"2020-10-28",445,447,443,410.7225646972656,24710230,444,"2330.TW"
,"2020-10-29",436.5,439.5,435.5,404.24713134765625,41285612,437,"2330.TW"
,"2020-10-30",437,437,432,399.6219787597656,47668895,432,"2330.TW"
,"2020-11-02",433,435.5,428,402.8595275878906,33477443,435.5,"2330.TW"
,"2020-11-03",439.5,443,438,407.9473876953125,30328495,441,"2330.TW"
,"2020-11-04",444.5,451.5,443,416.2728271484375,37512790,450,"2330.TW"
,"2020-11-05",451.5,451.5,445.5,417.19793701171875,34886108,451,"2330.TW"
,"2020-11-06",455,455.5,450,418.58544921875,30154140,452.5,"2330.TW"
,"2020-11-09",458,460,454,424.1357421875,39245881,458.5,"2330.TW"
,"2020-11-10",452,454.5,448.5,417.19793701171875,34820499,451,"2330.TW"
,"2020-11-11",448.5,457,448.5,422.7481994628906,36765561,457,"2330.TW"
,"2020-11-12",463,463.5,457.5,423.6732482910156,40100880,458,"2330.TW"
,"2020-11-13",459,462,456.5,427.3734436035156,31037438,462,"2330.TW"
,"2020-11-16",470,484.5,469,447.7245788574219,81994937,484,"2330.TW"
,"2020-11-17",502,506,485.5,449.1121520996094,72413868,485.5,"2330.TW"
,"2020-11-18",490,497,486.5,459.750244140625,50387727,497,"2330.TW"
,"2020-11-19",499,499,490,453.2748718261719,44220053,490,"2330.TW"
,"2020-11-20",486,490,486,451.42474365234375,32281453,488,"2330.TW"
,"2020-11-23",494.5,498.5,492,459.2876892089844,38084006,496.5,"2330.TW"
,"2020-11-24",499.5,500,491.5,455.1249694824219,35479226,492,"2330.TW"
,"2020-11-25",495,495.5,487,450.49969482421875,41419632,487,"2330.TW"
,"2020-11-26",489,493.5,488,452.3497619628906,28893033,489,"2330.TW"
,"2020-11-27",487.5,492,486.5,452.3497619628906,32960189,489,"2330.TW"
,"2020-11-30",493,493.5,480.5,444.4869079589844,119895176,480.5,"2330.TW"
,"2020-12-01",489.5,490,483.5,453.2748718261719,37018651,490,"2330.TW"
,"2020-12-02",499.5,500,493.5,461.6003112792969,50621339,499,"2330.TW"
,"2020-12-03",499.5,499.5,495,459.750244140625,35651379,497,"2330.TW"
,"2020-12-04",498.5,505,497.5,465.3005065917969,51172005,503,"2330.TW"
,"2020-12-07",512,515,506,475.47613525390625,44271244,514,"2330.TW"
,"2020-12-08",514,525,509,484.7266845703125,40771761,524,"2330.TW"
,"2020-12-09",521,524,520,481.0263671875,43314115,520,"2330.TW"
,"2020-12-10",511,515,510,473.6259765625,42556926,512,"2330.TW"
,"2020-12-11",517,517,505,477.326171875,45660960,516,"2330.TW"
,"2020-12-14",512,513,508,469.9257507324219,30260485,508,"2330.TW"
,"2020-12-15",507,510,504,466.2255859375,39852366,504,"2330.TW"
,"2020-12-16",509,515,507,473.6259765625,52012348,512,"2330.TW"
,"2020-12-17",515,515,508,472.2315673828125,38215179,508,"2330.TW"
,"2020-12-18",508,512,507,474.0907287597656,39924864,510,"2330.TW"
,"2020-12-21",512,517,508,479.6683349609375,34813281,516,"2330.TW"
,"2020-12-22",512,516,509,473.1612243652344,22454277,509,"2330.TW"
,"2020-12-23",508,511,506,473.1612243652344,18086715,509,"2330.TW"
,"2020-12-24",511,512,508,474.0907287597656,14950143,510,"2330.TW"
,"2020-12-25",514,515,510,475.0203857421875,12327895,511,"2330.TW"
,"2020-12-28",512,515,509,478.7387390136719,19087382,515,"2330.TW"
,"2020-12-29",515,517,513,478.7387390136719,19907528,515,"2330.TW"
,"2020-12-30",516,525,514,488.0346374511719,46292401,525,"2330.TW"
,"2020-12-31",526,530,524,492.6826171875,29970398,530,"2330.TW"
,"2021-01-04",530,540,528,498.26007080078125,38770328,536,"2330.TW"
,"2021-01-05",536,542,535,503.8376770019531,34411866,542,"2330.TW"
,"2021-01-06",555,555,541,510.3448181152344,53030554,549,"2330.TW"
,"2021-01-07",554,570,553,525.2182006835938,51166782,565,"2330.TW"
,"2021-01-08",580,580,571,539.162109375,59563555,580,"2330.TW"
,"2021-01-11",577,584,574,542.8804321289062,48810990,584,"2330.TW"
,"2021-01-12",583,597,582,549.387451171875,50232426,591,"2330.TW"
,"2021-01-13",595,605,593,562.40185546875,62662393,605,"2330.TW"
,"2021-01-14",587,597,587,550.317138671875,75288477,592,"2330.TW"
,"2021-01-15",621,625,601,558.6835327148438,92010500,601,"2330.TW"
,"2021-01-18",608,608,594,564.2610473632812,45726476,607,"2330.TW"
,"2021-01-19",618,632,613,582.8527221679688,50672866,627,"2330.TW"
,"2021-01-20",633,650,631,601.4445190429688,82066422,647,"2330.TW"
,"2021-01-21",640,679,640,625.6139526367188,89019137,673,"2330.TW"
,"2021-01-22",649,665,649,603.3037719726562,125179403,649,"2330.TW"
,"2021-01-25",642,646,626,588.4302368164062,93050133,633,"2330.TW"
,"2021-01-26",632,640,610,573.5569458007812,100153482,617,"2330.TW"
,"2021-01-27",618,625,611,571.6976928710938,59985191,615,"2330.TW"
,"2021-01-28",600,608,598,558.6835327148438,96447533,601,"2330.TW"
,"2021-01-29",619,619,591,549.387451171875,90745237,591,"2330.TW"
,"2021-02-01",595,612,587,567.9793701171875,67462398,611,"2330.TW"
,"2021-02-02",629,638,622,587.5007934570312,78429188,632,"2330.TW"
,"2021-02-03",638,642,630,585.6414794921875,48738970,630,"2330.TW"
,"2021-02-04",626,632,620,582.8527221679688,46371900,627,"2330.TW"
,"2021-02-05",638,641,631,587.5007934570312,53267273,632,"2330.TW"
,"2021-02-17",663,668,660,616.3180541992188,107614290,663,"2330.TW"
,"2021-02-18",664,665,656,613.5293579101562,53109010,660,"2330.TW"
,"2021-02-19",656,657,647,606.0924072265625,50279585,652,"2330.TW"
,"2021-02-22",660,662,650,604.2333374023438,36474610,650,"2330.TW"
,"2021-02-23",641,643,633,595.8670043945312,50076333,641,"2330.TW"
,"2021-02-24",627,636,625,580.9935913085938,66206750,625,"2330.TW"
,"2021-02-25",636,636,628,590.2894897460938,43231417,635,"2330.TW"
,"2021-02-26",611,618,606,563.3314208984375,111861175,606,"2330.TW"
,"2021-03-02",621,622,609,566.1200561523438,54041533,609,"2330.TW"
,"2021-03-03",609,622,601,578.2047729492188,48252965,622,"2330.TW"
,"2021-03-04",609,611,601,558.6835327148438,67711962,601,"2330.TW"
,"2021-03-05",588,605,584,558.6835327148438,79918467,601,"2330.TW"
,"2021-03-08",608,610,598,555.8946533203125,43219772,598,"2330.TW"
,"2021-03-09",585,595,585,553.1057739257812,68768861,595,"2330.TW"
,"2021-03-10",601,601,593,554.965087890625,40146301,597,"2330.TW"
,"2021-03-11",596,612,595,566.1200561523438,54416046,609,"2330.TW"
,"2021-03-12",615,618,609,570.7681274414062,33168846,614,"2330.TW"
,"2021-03-15",614,614,609,567.9793701171875,27416758,611,"2330.TW"
,"2021-03-16",610,613,607,569.838623046875,36949425,613,"2330.TW"
,"2021-03-17",612,612,602,563.771484375,39517807,604,"2330.TW"
,"2021-03-18",606,609,602,561.9047241210938,29415526,602,"2330.TW"
,"2021-03-19",594,598,591,551.6372680664062,70866028,591,"2330.TW"
,"2021-03-22",588,598,586,553.5042114257812,34089033,593,"2330.TW"
,"2021-03-23",597,603,593,554.4375610351562,29374037,594,"2330.TW"
,"2021-03-24",571,582,571,537.6363525390625,107253959,576,"2330.TW"
,"2021-03-25",572,581,570,536.702880859375,67833354,575,"2330.TW"
,"2021-03-26",582,592,580,550.7039184570312,36829858,590,"2330.TW"
,"2021-03-29",599,602,596,559.1044921875,37884733,599,"2330.TW"
,"2021-03-30",600,600,592,557.2377319335938,33099123,597,"2330.TW"
,"2021-03-31",596,597,587,547.9036865234375,38790886,587,"2330.TW"
,"2021-04-01",598,602,594,561.9047241210938,43091157,602,"2330.TW"
,"2021-04-07",614,614,608,569.3718872070312,24603109,610,"2330.TW"
,"2021-04-08",606,613,603,572.1719970703125,23976625,613,"2330.TW"
,"2021-04-09",618,618,609,569.3718872070312,27303862,610,"2330.TW"
,"2021-04-12",612,613,603,564.7049560546875,22606128,605,"2330.TW"
,"2021-04-13",604,613,604,564.7049560546875,25971622,605,"2330.TW"
,"2021-04-14",608,612,600,571.2385864257812,30077913,612,"2330.TW"
,"2021-04-15",612,619,607,577.7723999023438,33530942,619,"2330.TW"
,"2021-04-16",610,611,603,569.3718872070312,48507383,610,"2330.TW"
,"2021-04-19",605,607,601,562.8380126953125,24231637,603,"2330.TW"
,"2021-04-20",598,602,595,561.9047241210938,34771635,602,"2330.TW"
,"2021-04-21",599,599,592,552.5707397460938,38458220,592,"2330.TW"
,"2021-04-22",596,598,591,551.6372680664062,33868521,591,"2330.TW"
,"2021-04-23",592,602,590,561.9047241210938,27754511,602,"2330.TW"
,"2021-04-26",605,610,603,569.3718872070312,30887664,610,"2330.TW"
,"2021-04-27",608,611,605,569.3718872070312,26317481,610,"2330.TW"
,"2021-04-28",606,608,601,561.9047241210938,24024054,602,"2330.TW"
,"2021-04-29",609,609,600,560.037841796875,31828333,600,"2330.TW"
,"2021-05-03",595,597,588,548.8372802734375,41762441,588,"2330.TW"
,"2021-05-04",588,594,582,551.6372680664062,40273595,591,"2330.TW"
,"2021-05-05",594,594,585,546.0369873046875,29254785,585,"2330.TW"
,"2021-05-06",590,590,580,547.9036865234375,30725590,587,"2330.TW"
,"2021-05-07",594,600,589,559.1044921875,28075722,599,"2330.TW"
,"2021-05-10",596,597,588,549.7704467773438,20434079,589,"2330.TW"
,"2021-05-11",579,580,570,532.9693603515625,59349193,571,"2330.TW"
,"2021-05-12",567,571,518,522.7019653320312,131741482,560,"2330.TW"
,"2021-05-13",547,563,541,510.56781005859375,66765627,547,"2330.TW"
,"2021-05-14",556,562,552,519.90185546875,37533726,557,"2330.TW"
,"2021-05-17",544,558,541,512.4346923828125,56270958,549,"2330.TW"
,"2021-05-18",563,573,555,533.9027709960938,43689316,572,"2330.TW"
,"2021-05-19",571,572,565,529.23583984375,28908777,567,"2330.TW"
,"2021-05-20",567,571,560,529.23583984375,29709287,567,"2330.TW"
,"2021-05-21",572,577,568,534.836181640625,27376731,573,"2330.TW"
,"2021-05-24",570,572,566,530.1691284179688,15629736,568,"2330.TW"
,"2021-05-25",576,584,573,544.1702270507812,33039911,583,"2330.TW"
,"2021-05-26",587,588,581,546.0369873046875,18703987,585,"2330.TW"
,"2021-05-27",580,582,573,543.23681640625,62169719,582,"2330.TW"
,"2021-05-28",587,592,582,550.7039184570312,29086873,590,"2330.TW"
,"2021-05-31",595,597,590,557.2377319335938,30657474,597,"2330.TW"
,"2021-06-01",598,599,595,558.1710205078125,17818326,598,"2330.TW"
,"2021-06-02",600,600,593,555.370849609375,21872755,595,"2330.TW"
,"2021-06-03",600,600,596,556.3043823242188,21077164,596,"2330.TW"
,"2021-06-04",591,595,590,555.370849609375,15756180,595,"2330.TW"
,"2021-06-07",594,595,583,552.5707397460938,17077625,592,"2330.TW"
,"2021-06-08",590,595,588,549.7704467773438,13396324,589,"2330.TW"
,"2021-06-09",586,588,583,546.97021484375,20023490,586,"2330.TW"
,"2021-06-10",591,599,587,559.1044921875,28527745,599,"2330.TW"
,"2021-06-11",602,603,600,561.9047241210938,24227710,602,"2330.TW"
,"2021-06-15",607,609,606,568.4384155273438,26012250,609,"2330.TW"
,"2021-06-16",608,608,605,564.7049560546875,25856919,605,"2330.TW"
,"2021-06-17",601,606,598,567.9851684570312,22872361,606,"2330.TW"
,"2021-06-18",608,608,601,565.1734619140625,32652017,603,"2330.TW"
,"2021-06-21",590,594,583,546.4281616210938,44279632,583,"2330.TW"
,"2021-06-22",585,588,578,541.7416381835938,27823974,578,"2330.TW"
,"2021-06-23",583,598,581,557.6752319335938,34392376,595,"2330.TW"
,"2021-06-24",598,598,588,552.9889526367188,16524230,590,"2330.TW"
,"2021-06-25",598,598,589,553.92626953125,18841696,591,"2330.TW"
,"2021-06-28",590,590,586,552.9889526367188,15028407,590,"2330.TW"
