sitename,lon,lat,address,city,dist
屏東公園門市,120.490622,22.674148,台灣屏東縣屏東市中華路80號,屏東縣,屏東市
東區崇德門市,120.227298,22.971725,台灣台南市東區崇德路580號,台南市,東區
三民建工門市,120.328235,22.652214,台灣高雄市三民區大昌一路29巷7-2號,高雄市,三民區
小港漢民門市,120.356472,22.567312,台灣高雄市小港區漢民路365巷2號,高雄市,小港區
安平中華門市,120.186592,22.988245,台灣台南市安平區中華西路二段71號,台南市,安平區
楠梓益群門市,120.296921,22.725124,台灣高雄市楠梓區益群路68號,高雄市,楠梓區
仁武仁雄門市,120.349494,22.680051,台灣高雄市仁武區仁雄路42之30號,高雄市,仁武區
安南安和門市,120.214191,23.029323,台灣台南市安南區安和路一段158號,台南市,安南區
宜蘭中山門市,121.752543,24.754185,台灣宜蘭縣宜蘭市中山路二段518號260,宜蘭縣,宜蘭市
中和員山門市,121.481198,25.002994,台灣新北市中和區員山路316號,新北市,中和區
文山木新門市,121.560216,24.98153,台灣台北市文山區木新路三段183巷1號,台北市,文山區
三重集賢門市,121.484372,25.088425,台灣新北市三重區集賢路170號,新北市,三重區
天母忠誠門市,121.52853,25.105171,台灣台北市士林區雨農國小,台北市,士林區
台南新營門市,120.312857,23.310799,台灣台南市新營區民治路62-3號,台南市,新營區
花蓮中華門市,121.6002447,23.9753117,台灣花蓮縣花蓮市中華路266號,花蓮縣,花蓮市
屏東潮州門市,120.537443,22.549765,台灣屏東縣潮州鎮中山路175號,屏東縣,潮州鎮
新店民權門市,121.534201,24.982985,台灣新北市新店區民權路190號2樓,新北市,新店區
苓雅三多門市,120.330511,22.622389,台灣高雄市苓雅區三多一路229號,高雄市,苓雅區
太平樹德門市,120.713118,24.159809,台灣台中市太平區樹德路317號,台中市,太平區
鳳山五甲門市,120.356746,22.620792,台灣高雄市鳳山區南門(兵仔市),高雄市,鳳山區
三峽復興門市,121.373507,24.937235,台灣新北市三峽區復興路56號4樓,新北市,三峽區
南區建成門市,120.674803,24.126282,台灣台中市南區建成路1633號,台中市,南區
員林中山門市,120.568526,23.954643,台灣彰化縣員林市中山路一段578號,彰化縣,員林市
斗六明德北門市,120.5351,23.715108,台灣雲林縣斗六市明德北路二段350號,雲林縣,斗六市
鼓山青海門市,120.289013,22.651196,台灣高雄市鼓山區青海路113號,高雄市,鼓山區
三民九如二門市,120.303933,22.641354,台灣高雄市三民區九如二路312號,高雄市,三民區
中壢環中東門市,121.255206,24.962569,台灣桃園市中壢區環中東路236號,桃園市,中壢區
北區中清服務中心,120.675482,24.160952,台灣台中市北區中清路一段342號,台中市,北區
北屯中清門市,120.665911,24.183112,台灣台中市北屯區中清路二段616號,台中市,北屯區
草屯太平門市,120.6832,23.971204,台灣南投縣草屯鎮太平路二段84號,南投縣,草屯鎮
泰山明志門市,121.425087,25.042055,台灣新北市泰山區貴子路2號,新北市,泰山區
東港光復門市,120.45853,22.470206,台灣屏東縣東港鎮光復路一段162號,屏東縣,東港鎮
朴子山通門市,120.241738,23.464199,台灣嘉義縣朴子市山通路202號,嘉義縣,朴子市
善化大成門市,120.298407,23.129779,台灣台南市善化區大成路291號,台南市,善化區
羅東中正門市,121.771718,24.677084,台灣宜蘭縣羅東鎮中正路177號,宜蘭縣,羅東鎮
基隆義一門市,121.74671,25.134767,台灣基隆市中正區義一路87號7號樓之2,基隆市,中正區
淡水鼻頭門市,121.447322,25.167226,台灣新北市淡水區鼻頭街1號4樓,新北市,淡水區
馬公同和門市,119.571722,23.567429,880台灣澎湖縣馬公市同和路158號3 樓,澎湖縣,馬公市
新豐學府門市,120.998183,24.873304,台灣新竹縣新豐鄉學府路59號,新竹縣,新豐鄉
台東新生門市,121.144926,22.755202,台灣台東縣台東市新生路191-2號,台東縣,台東市
東勢豐勢服務中心,120.829743,24.252821,台灣台中市東勢區豐勢路263號,台中市,東勢區
虎尾光復門市,120.433844,23.711222,台灣雲林縣虎尾鎮光復路482號,雲林縣,虎尾鎮
桃園三民服務中心,121.307652,24.983596,台灣桃園市桃園區三民路三段579號,桃園市,桃園區
平鎮中豐服務中心,121.216753,24.943087,台灣桃園市平鎮區中豐路307號,桃園市,平鎮區
屏東和平服務中心,120.477539,22.679892,台灣屏東縣屏東市和平路459號,屏東縣,屏東市
南屯五權西門市,120.646154,24.139977,台灣台中市南屯區五權西路二段361號,台中市,南屯區
板橋民生門市,121.466962,25.026004,台灣新北市板橋區民生路三段70號,新北市,板橋區
新竹東勝門市,120.987642,24.803613,台灣新竹市東區東勝路45號,新竹市,東區
鹿港民族門市,120.436264,24.055613,台灣彰化縣鹿港鎮民族路83號,彰化縣,鹿港鎮
士林承德服務中心,121.517426,25.090281,111台灣台北市士林區承德路四段342 樓5號,台北市,士林區
板橋南雅西服務中心,121.451667,25.014744,台灣新北市板橋區南雅西路二段253-1號,新北市,板橋區
沙鹿中山門市,120.561145,24.241718,台灣台中市沙鹿區中山路376號,台中市,沙鹿區
台南文賢服務中心,120.193706,23.005999,台灣台南市北區文賢路476號,台南市,北區
新莊民安門市,121.424899,25.023792,台灣新北市新莊區民安路180巷2號,新北市,新莊區
西屯甘肅服務中心,120.655929,24.171466,台灣台中市西屯區甘肅路二段48號,台中市,西屯區
南屯大墩十四服務中心,120.645495,24.152577,台灣台中市南屯區大墩十四街350號,台中市,南屯區
佳里義民門市,120.175422,23.16147,台灣台南市佳里區義民街240號,台南市,佳里區
大雅學府門市,120.650143,24.220179,台灣台中市大雅區學府路143號,台中市,大雅區
歸仁中山門市,120.28044,22.968195,台灣台南市歸仁區中山路三段313號,台南市,歸仁區
頭份自強門市,120.905386,24.686911,台灣苗栗縣頭份市自強路112巷23號,苗栗縣,頭份市
新竹關新服務中心,121.020019,24.787948,台灣新竹市東區關新路225號三樓號,新竹市,東區
龍潭中正門市,121.21806,24.861686,台灣桃園市龍潭區中正路311之3號,桃園市,龍潭區
鳳山中山西服務中心,120.345273,22.628282,台灣高雄市鳳山區中山西路260號,高雄市,鳳山區
左營自由四服務中心,120.317877,22.686938,台灣高雄市左營區自由四路453號二樓號,高雄市,左營區
新莊仁愛服務中心,121.444362,25.036612,台灣新北市新莊區仁愛街38號,新北市,新莊區
桃園文中服務中心,121.27722,24.993455,台灣桃園市桃園區文中路661號,桃園市,桃園區
台中中港門市,120.619412,24.180804,407台灣台中市西屯區台灣大道四段771號10 F,台中市,西屯區
大寮鳳林三門市,120.396296,22.603896,台灣高雄市大寮區鳳林三路418號,高雄市,大寮區
西屯福星北服務中心,120.644497,24.183862,台灣台中市西屯區福星北二街70號,台中市,西屯區
北投文林北服務中心,121.51404,25.108484,台灣台北市北投區文林北路228號,台北市,北投區
蘆竹南崁服務中心,121.289097,25.051326,台灣桃園市蘆竹區南崁路一段58號,桃園市,蘆竹區
板橋萬板服務中心,121.47039,25.020988,台灣新北市板橋區莊敬公園,新北市,板橋區
永康永大服務中心,120.261371,23.006379,台灣台南市永康區永大路二段169號,台南市,永康區
新莊中華服務中心,121.452239,25.052684,台灣新北市新莊區中華路二段203號,新北市,新莊區
台中公益門市,120.66059,24.15066,台灣台中市西區公益路199號,台中市,西區
大安潮州服務中心,121.524982,25.028981,台灣台北市大安?潮州街94號2樓,台北市,大安區
永和成功服務中心,121.526395,24.997133,台灣新北市永和區成功路二段142號,新北市,永和區
三重福德北門市,121.502162,25.064426,台灣新北市三重區福德北路12號3樓,新北市,三重區
大里中興門市,120.68834,24.10267,台灣台中市大里區下內新,台中市,大里區
屏東民族門市,120.485306,22.670597,台灣屏東縣屏東市民族路112號,屏東縣,屏東市
啄木鳥藥局屏東店站(多站),120.498383,22.66709,台灣屏東縣屏東市民生路27號,屏東縣,屏東市
7-ELEVEN 仁伯店站,120.255538,22.948681,台灣台南市仁德區德安路188號,台南市,仁德區
中油台糖三股加油站,120.131288,23.102831,台灣台南市七股區永吉里,台南市,七股區
全聯台中文心店站,120.656686,24.166376,台灣台中市西屯區重慶路140號,台中市,西屯區
臺中市龍泉市場站(多站),120.54729,24.19306,台灣台中市龍井區竹師路二段13號,台中市,龍井區
全家新竹濱海店站,120.922549,24.813135,台灣新竹市香山?海埔路171巷99弄11號,新竹市,香山區
全家桃園愛國店站(多站),121.316731,24.985957,台灣桃園市桃園區建國路40號,桃園市,桃園區
新北市鴨母港平面停車場站(多站),121.4558,25.082565,台灣新北市五股區中興路二段182巷50號,新北市,五股區
全聯楠梓興楠店站(多站),120.333045,22.730116,台灣高雄市楠梓區興楠路,高雄市,楠梓區
台南市北區文賢路365巷停車場站(多站),120.193204,23.007961,台灣台南市北區文賢路365巷11號,台南市,北區
中油順天加油站,120.61745,24.342072,台灣台中市大甲區經國路99號,台中市,大甲區
臺南萬昌街停車場站(多站),120.210436,22.991158,台灣台南市中西區青年路196巷13號,台南市,中西區
中油興榮加油站,121.264524,24.902853,台灣桃園市大溪區30-16,桃園市,大溪區
中油長治加油站,120.538653,22.692277,台灣屏東縣長治鄉中興路549號,屏東縣,長治鄉
中油富里加油站,121.252477,23.182963,台灣花蓮縣富里鄉中興路87號,花蓮縣,富里鄉
全聯台中健行店站,120.679821,24.159041,台灣台中市北區健行路447號,台中市,北區
臺中市惠順停車場站(多站),120.63918,24.164683,台灣台中市西屯區河南路三段13號,台中市,西屯區
中油台糖潭頂加油站,120.318032,23.076168,台灣台南市新市區538-5號,台南市,區
全家新店城泰店站,121.485745,24.951457,台灣新北市新店區安康路三段311號,新北市,新店區
HiLife 中壢壢榮店站(多站),121.26022,24.958801,台灣桃園市中壢區永福路603號,桃園市,中壢區
台竣實業站,120.595144,24.170264,台灣台中市西屯區工業區三十三路1號,台中市,西屯區
全聯龍潭北龍店站(多站),121.211193,24.865344,台灣桃園市龍潭區北龍路19號,桃園市,龍潭區
南港國小地下停車場B1F站,121.61128,25.05649,台灣台北市南港區興東街59號,台北市,南港區
中油力行加油站(多站),121.29629,24.99868,台灣桃園市桃園區力行路368號,桃園市,桃園區
中華電信平鎮服務中心站(多站),121.219087,24.940893,台灣桃園市平鎮區中華電信,桃園市,平鎮區
中油林森路加油站(多站),120.443741,23.480679,台灣嘉義市西區林森西路281號,嘉義市,西區
7-ELEVEN 興安店站(多站),120.558467,24.233191,台灣台中市沙鹿區沙田路59號,台中市,沙鹿區
全聯台南培安店站(多站),120.213613,23.036345,台灣台南市安南區安和路一段461號,台南市,安南區
鳳山福利站(多站),120.373554,22.627485,台灣高雄市鳳山區勝利路11號,高雄市,鳳山區
7-ELEVEN 正旺店站,120.182416,22.933316,702台灣台南市南區台南市 南區萬年路406巷302號,台南市,南區
中油台糖仁新加油站,120.359301,22.703641,台灣高雄市仁武區水管路三段276號,高雄市,仁武區
全家林園鑫園店站,120.394762,22.512092,台灣高雄市林園區林園北路437號,高雄市,林園區
中油六合加油站,121.255071,24.911002,台灣桃園市大溪區仁和路二段550號,桃園市,大溪區
全聯台中惠文店站(多站),120.643215,24.143713,台灣台中市南屯區惠文路338號,台中市,南屯區
基隆市中正區公所站(多站),121.759345,25.140654,台灣基隆市中正區正豐街35號,基隆市,中正區
臺中市黎明里活動中心站,120.629619,24.155406,台灣台中市南屯區干城街150號,台中市,南屯區
全聯三重力行店站,121.484895,25.068766,台灣新北市三重區力行路一段54號,新北市,三重區
全聯高雄鼓山店站(多站),120.28431,22.665183,台灣高雄市鼓山區銘傳路61號,高雄市,鼓山區
八百屋八德店站,120.311692,22.63541,台灣高雄市新興區八德一路55號,高雄市,新興區
新北市民生立體停車場站(多站),121.461877,25.138196,台灣新北市淡水區民生路39號,新北市,淡水區
Gogoro 嘉義興業東門市站,120.454614,23.469319,台灣嘉義市東區吳鳳南路137號,嘉義市,東區
東吳大學城區部站,121.50923,25.037828,100台灣台北市中正區貴陽街一段56號第一大樓 (崇基樓),台北市,中正區
中油崁頂加油站(多站),120.520916,22.521373,台灣屏東縣崁頂鄉中正路251號,屏東縣,崁頂鄉
中油長成加油站,120.955369,24.642766,台灣苗栗縣南庄鄉68-3,苗栗縣,南庄鄉
全聯平鎮和平店站,121.219773,24.946233,台灣桃園市平鎮區平鎮區公所(和平路),桃園市,平鎮區
台糖大埔美加油站,120.506769,23.60229,台灣嘉義縣大林鎮507,嘉義縣,大林鎮
家樂福樹林店站,121.421508,24.997036,台灣新北市樹林區大安路118號,新北市,樹林區
eReady 大安建國店站,121.53817,25.031119,台灣台北市大安區建國南路二段73號,台北市,大安區
新北市秀山公園站(多站),121.523578,24.995838,台灣新北市中和區自立路15巷12號秀山公園,新北市,中和區
中油萬巒加油站,120.564178,22.57022,台灣屏東縣萬巒鄉中正路5-3號,屏東縣,萬巒鄉
管仲停車場站(多站),120.31391,22.60451,台灣高雄市前鎮區管仲南路360號對面號,高雄市,前鎮區
吉盛汽車有限公司站,121.552992,25.072548,台灣台北市松山區濱江街375號,台北市,松山區
全家秀水好水店站,120.49815,24.032114,台灣彰化縣秀水鄉彰水路二段628號,彰化縣,秀水鄉
臺中市光大停車場站(多站),120.675822,24.148704,台灣台中市北區篤行路124-10號,台中市,北區
臺南福利站(多站),120.209048,22.998775,台灣台南市北區成功路22巷3號,台南市,北區
臺北市金山公園站(多站),121.525267,25.032032,台灣台北市大安區愛國東路35號,台北市,大安區
捷運前鎮高中站旁平面停車場站,120.321877,22.587889,台灣高雄市前鎮區翠亨北路225號,高雄市,前鎮區
中油豐榮加油站,121.143023,22.739481,台灣台東縣台東市花東海岸公路912號,台東縣,台東市
全家新莊新市店站,121.46253,25.059909,台灣新北市新莊區化成路431巷76號,新北市,新莊區
全聯苑裡世界店站,120.657171,24.439443,台灣苗栗縣苑裡鎮世界路一段91之13號,苗栗縣,苑裡鎮
星巴克本館店站(多站),120.341469,22.650569,台灣高雄市鳥松區本館路211號,高雄市,鳥松區
中油宜蘭豐富加油站(多站),121.767686,24.811315,台灣宜蘭縣礁溪鄉礁溪路三段266號,宜蘭縣,礁溪鄉
中油智弘加油站,120.689955,24.131734,台灣台中市東區中潭公路670號,台中市,東區
全聯雲林斗六店站(多站),120.550589,23.703846,台灣雲林縣斗六市莊敬路43號,雲林縣,斗六市
HiLife 竹北水岸店站(多站),121.030052,24.804314,台灣新竹縣竹北市嘉豐南路二段220號,新竹縣,竹北市
台北捷運輔大站(4號出口)A,121.436453,25.033049,台灣新北市新莊區107縣道488號,新北市,新莊區
岡山福利站(多站),120.28909,22.790308,台灣高雄市岡山區柳橋西路1之1號,高雄市,岡山區
家樂福斗六店站,120.530646,23.702237,台灣雲林縣斗六市雲林路二段297號,雲林縣,斗六市
寰縈車業店站,120.705525,24.130532,台灣台中市東區振興路437巷4號,台中市,東區
全鋒大崙加油站,121.16973,24.9928,台灣桃園市中壢區112縣道765號,桃園市,中壢區
應安168 桃園場停車場站(多站),121.315583,24.988469,台灣桃園市桃園區吉林路5號,桃園市,桃園區
新北市大漢停車場站,121.467472,25.024454,台灣新北市板橋區106甲縣道18號,新北市,板橋區
中油沅成加油站,120.554093,22.56125,台灣屏東縣潮州鎮潮州路1211號,屏東縣,潮州鎮
中油通丞加油站,120.639661,23.833021,台灣南投縣名間鄉名松路二段35號,南投縣,名間鄉
7-ELEVEN 新忠貞店站(多站),120.614401,24.242155,台灣台中市沙鹿區東海路5-3號,台中市,沙鹿區
臺灣大道市政大樓附屬平面停車場站(惠中路側)A,120.645066,24.161998,台灣台中市西屯區台中市西屯區,台中市,西屯區
全家中壢龍興店站,121.23013,24.942167,台灣桃園市中壢區112縣道315號,桃園市,中壢區
中油美林加油站,120.495128,22.882504,台灣高雄市旗山區延平二路114號,高雄市,旗山區
全家大里新光店站(多站),120.691908,24.109505,台灣台中市大里區新光路93號,台中市,大里區
台塑中泰加油站,121.436322,25.057274,台灣新北市泰山區泰林路二段36-5號,新北市,泰山區
可樂車業店站,120.689638,24.114468,台灣台中市大里區中興路二段597號,台中市,大里區
新竹竹蓮市場站(多站),120.971723,24.797328,台灣新竹市東區竹蓮街17號,新竹市,東區
臺中市長青學苑站(多站),120.699756,24.061536,台灣台中市霧峰區大同路31號,台中市,霧峰區
中油北投加油站,121.502393,25.119563,台灣台北市北投區承德路七段384號,台北市,北投區
中油頭份工業區加油站,120.895369,24.676638,台灣苗栗縣頭份市中華路519號,苗栗縣,頭份市
台塑明月潭加油站,120.380138,22.589401,台灣高雄市大寮區內坑路158之6號,高雄市,大寮區
HiLife 竹北北鮮店站,121.009722,24.834422,台灣新竹縣竹北市三民路314號,新竹縣,竹北市
中油文中北加油站,121.270507,24.991632,台灣桃園市蘆竹區文中路一段99號,桃園市,蘆竹區
中油連城加油站(多站),121.47334,24.990694,台灣新北市土城區金城路三段281號,新北市,土城區
愛買三重店站(多站),121.475951,25.071251,台灣新北市三重區中正北路193巷45號,新北市,三重區
新北市光華段機車場站(多站),121.451706,25.011701,台灣新北市板橋區南雅西路二段145巷4號,新北市,板橋區
7-ELEVEN 寶斗店站,120.527916,23.878494,台灣彰化縣北斗鎮復興路281號,彰化縣,北斗鎮
中油佳昌加油站,120.352475,23.338674,台灣台南市後壁區頂寮54之30號,台南市,後壁區
Gogoro 新莊中華服務中心站,121.452218,25.052653,台灣新北市新莊區中華路二段201號,新北市,新莊區
家樂福成功店站(多站),120.30462,22.60549,台灣高雄市前鎮區中華五路1111號,高雄市,前鎮區
Gogoro 高雄大昌門市站(多站),120.331798,22.650102,台灣高雄市三民區大昌二路428號,高雄市,三民區
中油桃園中正加油站,121.294021,25.026758,台灣桃園市桃園區中正路1560號,桃園市,桃園區
Gogoro 板橋萬板服務中心站,121.470388,25.020968,台灣新北市板橋區莊敬公園,新北市,板橋區
富山苗栗中山路停車場站(多站),120.82156,24.560594,台灣苗栗縣苗栗市中山路413號,苗栗縣,苗栗市
全聯埔心東明店站,120.562527,23.954691,台灣彰化縣埔心鄉員林大道七段137號,彰化縣,埔心鄉
新北市臺電公司北部展示館站,121.660089,25.206942,台灣新北市萬里區台電北展館,新北市,萬里區
中油高雄林森二路加油站,120.306076,22.623418,台灣高雄市新興區忠孝一路69巷5號,高雄市,新興區
臺中市文修停車場站(多站),120.642253,24.185249,台灣台中市西屯區台中市西屯區,台中市,西屯區
7-ELEVEN 鼎東店站(多站),120.467012,22.481113,台灣屏東縣東港鎮中正路二段507巷27弄7號,屏東縣,東港鎮
全聯彰化溪州店站,120.493496,23.849427,台灣彰化縣溪州鄉俊仁路34號,彰化縣,溪州鄉
全家水上柳子林店站,120.411364,23.430368,台灣嘉義縣水上鄉1500,嘉義縣,水上鄉
中油澳底加油站,121.929041,25.060826,台灣新北市貢寮區美艷山街6之2號,新北市,貢寮區
家樂福內壢店站,121.253567,24.971897,台灣桃園市中壢區中華路一段450號,桃園市,中壢區
臺中市大雅區公所站(多站),120.648217,24.229194,台灣台中市大雅區雅環路二段299號,台中市,大雅區
全聯新莊建中店站,121.448167,25.03728,台灣新北市新莊區建中街60號,新北市,新莊區
新北市重新橋下機車停車場站,121.485676,25.053659,台灣新北市三重區重新路四段246號,新北市,三重區
全聯彰化鹿港店站(多站),120.438271,24.054909,台灣彰化縣鹿港鎮復興路212號,彰化縣,鹿港鎮
臺中市潮洋臨時停車場站(多站),120.644268,24.178646,台灣台中市西屯區逢甲大學(逢甲路),台中市,西屯區
普客泰順街第二停車場站(多站),121.531392,25.025003,106台灣台北市大安區泰順街34 樓2號,台北市,大安區
中油千越東港加油站,120.463994,22.471846,台灣屏東縣東港鎮沿海路128號,屏東縣,東港鎮
全家永康永明店站,120.262786,23.024407,台灣台南市永康區永明街262號,台南市,永康區
HiLife 三重重賓店站,121.47053,25.072233,台灣新北市三重區中正北路411巷274號,新北市,三重區
7-ELEVEN 新莊伯店站,121.300245,25.02529,台灣桃園市桃園區莊敬路一段175號,桃園市,桃園區
新北市環河公園站(多站),121.451002,25.016546,台灣新北市板橋區南雅西路二段301巷41弄環河公園,新北市,板橋區
全聯土庫馬光店站(多站),120.357113,23.704149,台灣雲林縣土庫鎮和平街19號,雲林縣,土庫鎮
中油新庄子加油站,120.983347,24.906904,台灣新竹縣新豐鄉新庄路429號,新竹縣,新豐鄉
中油日日春加油站,120.493765,22.768441,台灣屏東縣里港鄉中山南路8號,屏東縣,里港鄉
新北市介壽公園站(多站),121.463229,25.008661,台灣新北市板橋區實踐路1號,新北市,板橋區
